"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","0.1uF/275V","Capacitor_THT:C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3","~","1","","",""
"C2","220uF","Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm","","1","","",""
"C3,C4,C5,C6,C7,C8,C9","0.01µF","Capacitor_THT:C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4","~","7","","",""
"F1","Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","~","1","","",""
"H1,H2,H3,H4","MountingHole","MountingHole:MountingHole_3mm","~","4","","Excluded from BOM",""
"J1","Energy_Meter_Conn","smart_meter:RC4","~","1","","",""
"J2","Control_Terminal","smart_meter:RC8","~","1","","",""
"J4","PV","smart_meter:RPC2","~","1","","",""
"J5","AC_Input","smart_meter:RPC2","~","1","","",""
"J6","DC_out","smart_meter:RC2","~","1","","",""
"J7","Loads1","smart_meter:RPC5","~","1","","",""
"J8","Loads2","smart_meter:RPC5","~","1","","",""
"L1","L_Coupled_1324","Inductor_THT:L_CommonMode_Wuerth_WE-CMB-M","~","1","","",""
"PS1","HLK-5M12","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-5Mxx","http://h.hlktech.com/download/ACDC%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%975W%E7%B3%BB%E5%88%97/1/%E6%B5%B7%E5%87%8C%E7%A7%915W%E7%B3%BB%E5%88%97%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97%E8%A7%84%E6%A0%BC%E4%B9%A6V2.8.pdf","1","","",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7","BTA41-600","Package_TO_SOT_THT:TO-220-3_Vertical","https://assets.nexperia.com/documents/data-sheet/BT138_SER_D_E.pdf","7","","",""
"R1,R2,R4,R5,R7,R8,R10,R11,R13,R14,R16,R17,R19,R20","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","14","","",""
"R3,R6,R9,R12,R15,R18,R21","100","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","7","","",""
"RV1","10D561","Varistor:RV_Disc_D15.5mm_W7.5mm_P7.5mm","~","1","","",""
"U1","~","smart_meter:Energy_meter","","1","","",""
"U2,U3,U4,U5,U6,U7,U8","MOC3063M","Package_DIP:DIP-6_W7.62mm","https://www.onsemi.com/pub/Collateral/MOC3163M-D.pdf","7","","",""
"U9","~","smart_meter:AC_filter","","1","","",""
